,gene_id,database,kegg_id
2293,WA5_RS01170,KEGG_Pathway,map00260
2294,WA5_RS01170,KEGG_Pathway,map00330
2295,WA5_RS01170,KEGG_Pathway,map00340
2296,WA5_RS01170,KEGG_Pathway,map00350
2297,WA5_RS01170,KEGG_Pathway,map00360
2298,WA5_RS01170,KEGG_Pathway,map00380
2299,WA5_RS01170,KEGG_Pathway,map00950
2300,WA5_RS01170,KEGG_Pathway,map00982
2301,WA5_RS01170,KEGG_Pathway,map01100
2302,WA5_RS01170,KEGG_Pathway,map01110
2303,WA5_RS01170,KEGG_Pathway,map04726
2304,WA5_RS01170,KEGG_Pathway,map04728
2305,WA5_RS01170,KEGG_Pathway,map05030
2306,WA5_RS01170,KEGG_Pathway,map05031
2307,WA5_RS01170,KEGG_Pathway,map05034
2314,WA5_RS01190,KEGG_Pathway,map00400
2315,WA5_RS01190,KEGG_Pathway,map00401
2316,WA5_RS01190,KEGG_Pathway,map01100
2317,WA5_RS01190,KEGG_Pathway,map01110
2318,WA5_RS01190,KEGG_Pathway,map01130
2319,WA5_RS01190,KEGG_Pathway,map01230
2323,WA5_RS01200,KEGG_Pathway,map00240
2324,WA5_RS01200,KEGG_Pathway,map00330
2325,WA5_RS01200,KEGG_Pathway,map01100
2331,WA5_RS01245,KEGG_Pathway,map00860
2332,WA5_RS01245,KEGG_Pathway,map00970
2333,WA5_RS01245,KEGG_Pathway,map01100
2334,WA5_RS01245,KEGG_Pathway,map01110
2335,WA5_RS01245,KEGG_Pathway,map01120
2342,WA5_RS01280,KEGG_Pathway,map00230
2343,WA5_RS01280,KEGG_Pathway,map00240
2344,WA5_RS01280,KEGG_Pathway,map01100
2345,WA5_RS01280,KEGG_Pathway,map03030
2346,WA5_RS01280,KEGG_Pathway,map03430
2347,WA5_RS01280,KEGG_Pathway,map03440
2349,WA5_RS01290,KEGG_Pathway,map03440
2356,WA5_RS01305,KEGG_Pathway,map00230
2357,WA5_RS01305,KEGG_Pathway,map00240
2358,WA5_RS01305,KEGG_Pathway,map01100
2359,WA5_RS01305,KEGG_Pathway,map03030
2360,WA5_RS01305,KEGG_Pathway,map03430
2361,WA5_RS01305,KEGG_Pathway,map03440
2368,WA5_RS01315,KEGG_Pathway,map00290
2369,WA5_RS01315,KEGG_Pathway,map00620
2370,WA5_RS01315,KEGG_Pathway,map01100
2371,WA5_RS01315,KEGG_Pathway,map01110
2372,WA5_RS01315,KEGG_Pathway,map01210
2373,WA5_RS01315,KEGG_Pathway,map01230
2384,WA5_RS01325,KEGG_Pathway,map00260
2385,WA5_RS01325,KEGG_Pathway,map00261
2386,WA5_RS01325,KEGG_Pathway,map00270
2387,WA5_RS01325,KEGG_Pathway,map00300
2388,WA5_RS01325,KEGG_Pathway,map01100
2389,WA5_RS01325,KEGG_Pathway,map01110
2390,WA5_RS01325,KEGG_Pathway,map01120
2391,WA5_RS01325,KEGG_Pathway,map01130
2392,WA5_RS01325,KEGG_Pathway,map01210
2393,WA5_RS01325,KEGG_Pathway,map01230
2404,WA5_RS01330,KEGG_Pathway,map00260
2405,WA5_RS01330,KEGG_Pathway,map00261
2406,WA5_RS01330,KEGG_Pathway,map00270
2407,WA5_RS01330,KEGG_Pathway,map00300
2408,WA5_RS01330,KEGG_Pathway,map01100
2409,WA5_RS01330,KEGG_Pathway,map01110
2410,WA5_RS01330,KEGG_Pathway,map01120
2411,WA5_RS01330,KEGG_Pathway,map01130
2412,WA5_RS01330,KEGG_Pathway,map01210
2413,WA5_RS01330,KEGG_Pathway,map01230
2427,WA5_RS01345,KEGG_Pathway,map00380
2428,WA5_RS01345,KEGG_Pathway,map00630
2429,WA5_RS01345,KEGG_Pathway,map01110
2430,WA5_RS01345,KEGG_Pathway,map01130
2431,WA5_RS01345,KEGG_Pathway,map01200
2432,WA5_RS01345,KEGG_Pathway,map04011
2433,WA5_RS01345,KEGG_Pathway,map04016
2434,WA5_RS01345,KEGG_Pathway,map04068
2435,WA5_RS01345,KEGG_Pathway,map04146
2436,WA5_RS01345,KEGG_Pathway,map04211
2437,WA5_RS01345,KEGG_Pathway,map04212
2438,WA5_RS01345,KEGG_Pathway,map04213
2439,WA5_RS01345,KEGG_Pathway,map05014
2447,WA5_RS01500,KEGG_Pathway,map00061
2448,WA5_RS01500,KEGG_Pathway,map00333
2449,WA5_RS01500,KEGG_Pathway,map00780
2450,WA5_RS01500,KEGG_Pathway,map01040
2451,WA5_RS01500,KEGG_Pathway,map01100
2452,WA5_RS01500,KEGG_Pathway,map01130
2453,WA5_RS01500,KEGG_Pathway,map01212
2461,WA5_RS01510,KEGG_Pathway,map00071
2462,WA5_RS01510,KEGG_Pathway,map00310
2463,WA5_RS01510,KEGG_Pathway,map00362
2464,WA5_RS01510,KEGG_Pathway,map00380
2465,WA5_RS01510,KEGG_Pathway,map01100
2466,WA5_RS01510,KEGG_Pathway,map01120
2467,WA5_RS01510,KEGG_Pathway,map01130
2473,WA5_RS01525,KEGG_Pathway,map02020
2474,WA5_RS01525,KEGG_Pathway,map02024
2475,WA5_RS01525,KEGG_Pathway,map02025
2476,WA5_RS01525,KEGG_Pathway,map02026
2477,WA5_RS01525,KEGG_Pathway,map05111
2479,WA5_RS01535,KEGG_Pathway,map03410
2482,WA5_RS01545,KEGG_Pathway,map00332
2483,WA5_RS01545,KEGG_Pathway,map01130
2488,WA5_RS01625,KEGG_Pathway,map00230
2489,WA5_RS01625,KEGG_Pathway,map02025
2490,WA5_RS01625,KEGG_Pathway,map04113
2491,WA5_RS01625,KEGG_Pathway,map04213
2498,WA5_RS01630,KEGG_Pathway,map00230
2499,WA5_RS01630,KEGG_Pathway,map00240
2500,WA5_RS01630,KEGG_Pathway,map01100
2501,WA5_RS01630,KEGG_Pathway,map03030
2502,WA5_RS01630,KEGG_Pathway,map03430
2503,WA5_RS01630,KEGG_Pathway,map03440
2509,WA5_RS01660,KEGG_Pathway,map00460
2510,WA5_RS01660,KEGG_Pathway,map00500
2511,WA5_RS01660,KEGG_Pathway,map00940
2512,WA5_RS01660,KEGG_Pathway,map01100
2513,WA5_RS01660,KEGG_Pathway,map01110
2519,WA5_RS16405,KEGG_Pathway,map00460
2520,WA5_RS16405,KEGG_Pathway,map00500
2521,WA5_RS16405,KEGG_Pathway,map00940
2522,WA5_RS16405,KEGG_Pathway,map01100
2523,WA5_RS16405,KEGG_Pathway,map01110
2525,WA5_RS01675,KEGG_Pathway,map00620
2534,WA5_RS01690,KEGG_Pathway,map00052
2535,WA5_RS01690,KEGG_Pathway,map00520
2536,WA5_RS01690,KEGG_Pathway,map00521
2537,WA5_RS01690,KEGG_Pathway,map00523
2538,WA5_RS01690,KEGG_Pathway,map00525
2539,WA5_RS01690,KEGG_Pathway,map01055
2540,WA5_RS01690,KEGG_Pathway,map01100
2541,WA5_RS01690,KEGG_Pathway,map01130
2547,WA5_RS01715,KEGG_Pathway,map00230
2548,WA5_RS01715,KEGG_Pathway,map00240
2549,WA5_RS01715,KEGG_Pathway,map00760
2550,WA5_RS01715,KEGG_Pathway,map01100
2551,WA5_RS01715,KEGG_Pathway,map01110
2565,WA5_RS01725,KEGG_Pathway,map00010
2566,WA5_RS01725,KEGG_Pathway,map00071
2567,WA5_RS01725,KEGG_Pathway,map00350
2568,WA5_RS01725,KEGG_Pathway,map00625
2569,WA5_RS01725,KEGG_Pathway,map00626
2570,WA5_RS01725,KEGG_Pathway,map00830
2571,WA5_RS01725,KEGG_Pathway,map00980
2572,WA5_RS01725,KEGG_Pathway,map00982
2573,WA5_RS01725,KEGG_Pathway,map01100
2574,WA5_RS01725,KEGG_Pathway,map01110
2575,WA5_RS01725,KEGG_Pathway,map01120
2576,WA5_RS01725,KEGG_Pathway,map01130
2577,WA5_RS01725,KEGG_Pathway,map01220
2582,WA5_RS01730,KEGG_Pathway,map00521
2583,WA5_RS01730,KEGG_Pathway,map00523
2584,WA5_RS01730,KEGG_Pathway,map00525
2585,WA5_RS01730,KEGG_Pathway,map01130
2589,WA5_RS01735,KEGG_Pathway,map00521
2590,WA5_RS01735,KEGG_Pathway,map00523
2591,WA5_RS01735,KEGG_Pathway,map01130
2597,WA5_RS01740,KEGG_Pathway,map00521
2598,WA5_RS01740,KEGG_Pathway,map00523
2599,WA5_RS01740,KEGG_Pathway,map00525
2600,WA5_RS01740,KEGG_Pathway,map01055
2601,WA5_RS01740,KEGG_Pathway,map01130
2603,WA5_RS01750,KEGG_Pathway,map02010
2605,WA5_RS01770,KEGG_Pathway,map04614
2611,WA5_RS01805,KEGG_Pathway,map00521
2612,WA5_RS01805,KEGG_Pathway,map00523
2613,WA5_RS01805,KEGG_Pathway,map00525
2614,WA5_RS01805,KEGG_Pathway,map01055
2615,WA5_RS01805,KEGG_Pathway,map01130
2617,WA5_RS01810,KEGG_Pathway,map00520
2621,WA5_RS01830,KEGG_Pathway,map00520
2622,WA5_RS01830,KEGG_Pathway,map00550
2623,WA5_RS01830,KEGG_Pathway,map01100
2627,WA5_RS01835,KEGG_Pathway,map00520
2628,WA5_RS01835,KEGG_Pathway,map00550
2629,WA5_RS01835,KEGG_Pathway,map01100
2634,WA5_RS01870,KEGG_Pathway,map00040
2635,WA5_RS01870,KEGG_Pathway,map00053
2636,WA5_RS01870,KEGG_Pathway,map00520
2637,WA5_RS01870,KEGG_Pathway,map01100
2650,WA5_RS01890,KEGG_Pathway,map00010
2651,WA5_RS01890,KEGG_Pathway,map00020
2652,WA5_RS01890,KEGG_Pathway,map00260
2653,WA5_RS01890,KEGG_Pathway,map00280
2654,WA5_RS01890,KEGG_Pathway,map00620
2655,WA5_RS01890,KEGG_Pathway,map00630
2656,WA5_RS01890,KEGG_Pathway,map00640
2657,WA5_RS01890,KEGG_Pathway,map01100
2658,WA5_RS01890,KEGG_Pathway,map01110
2659,WA5_RS01890,KEGG_Pathway,map01120
2660,WA5_RS01890,KEGG_Pathway,map01130
2661,WA5_RS01890,KEGG_Pathway,map01200
2668,WA5_RS01895,KEGG_Pathway,map00040
2669,WA5_RS01895,KEGG_Pathway,map00052
2670,WA5_RS01895,KEGG_Pathway,map00500
2671,WA5_RS01895,KEGG_Pathway,map00520
2672,WA5_RS01895,KEGG_Pathway,map01100
2673,WA5_RS01895,KEGG_Pathway,map01130
2683,WA5_RS01910,KEGG_Pathway,map00020
2684,WA5_RS01910,KEGG_Pathway,map00190
2685,WA5_RS01910,KEGG_Pathway,map00650
2686,WA5_RS01910,KEGG_Pathway,map00720
2687,WA5_RS01910,KEGG_Pathway,map01100
2688,WA5_RS01910,KEGG_Pathway,map01110
2689,WA5_RS01910,KEGG_Pathway,map01120
2690,WA5_RS01910,KEGG_Pathway,map01130
2691,WA5_RS01910,KEGG_Pathway,map01200
2704,WA5_RS01915,KEGG_Pathway,map00020
2705,WA5_RS01915,KEGG_Pathway,map00190
2706,WA5_RS01915,KEGG_Pathway,map00250
2707,WA5_RS01915,KEGG_Pathway,map00650
2708,WA5_RS01915,KEGG_Pathway,map00720
2709,WA5_RS01915,KEGG_Pathway,map00760
2710,WA5_RS01915,KEGG_Pathway,map01100
2711,WA5_RS01915,KEGG_Pathway,map01110
2712,WA5_RS01915,KEGG_Pathway,map01120
2713,WA5_RS01915,KEGG_Pathway,map01130
