Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
WA5_RS00055,-0.030087633222211474,0.011883026559515533,-0.015880846148011774,0.008347509634711283,0.013978010857598224,0.021495397998089166,-0.0048893599723550734,-0.004081935860776376,-0.0026647828321081134,0.0006426925334943389,-0.005937806350082199,-0.007670419835891577,0.004510235236648814,-0.002182760016117743,-0.024341740079626705,-0.05079559586013155,0.004865384044756681,-0.013137223140192942,0.00013603784010287592,-0.004417827349159783,0.023605033198377187,0.005358097904763763,0.004622497605095752,0.0066717852656408595,0.07836848922065522,0.025987125026092277,0.015680886015845677,0.0032802736892880813,0.024196065648555535,-0.003957300956476471,-0.0014428124927231328,-0.0035567821948449137,-0.020570220181320216,0.002076354409400136,-0.018846223684420443,0.018747702825029248
WA5_RS00060,0.008370864942465242,-0.004641086612920476,0.004942865562739848,-0.01785086206114787,-0.0030014554185485947,-0.006972807654561169,0.023034013612639823,-0.01239743894609937,-0.009615907552051791,-0.0008367329954182187,-0.02878991169289653,2.6157598791657196e-05,-0.0011715613066949212,-0.008777039870655406,-0.0019910856286341405,-0.004311738891072216,0.0041749741063499875,-0.00434956495983339,0.0005851223259331498,-0.003586674663116786,-0.0008291880303825206,-0.015058532195741341,-0.03615655386316175,0.015415864373709946,-0.011565869476989017,-0.009352125788423697,-0.016579776600060922,0.00015387332168374164,0.000735179759252126,0.005846378308032953,-0.018781056232777354,-0.0008465452624194,-0.009972533355625396,0.007016069591322625,0.02130876198086184,-0.006233049574397057
WA5_RS00065,0.004328586081792504,-0.012052811540083402,0.018905210266840472,-0.011749954100119706,-0.004662069382564151,-0.0075126668061122745,0.024465986048754787,-0.0011215473128168576,-0.015073733434328671,-0.0034033586028440455,-0.01978570720554775,0.00548992931886901,-0.0012149655913488064,-0.006835228546726465,-0.021225536463315868,0.004024195110816695,-0.017139387679528814,-0.0015142960523693142,-0.002028358815054768,0.0012679705387090958,-0.016799498488629407,-0.0053335918021706966,0.011253323117373941,0.006002731603246692,-0.010312476004253161,-0.0024289501124062163,-0.02223004404371417,-0.001518372984471787,0.010160592009907227,0.005699159034963868,-0.01391191995499054,0.01332692328112756,-0.0008352879057565761,0.02847095089645039,0.02081643361433447,-0.012808620557616352
WA5_RS00080,0.03941784431971948,0.020993630636721102,-0.029209665812764185,-0.002478251074786952,0.05121377752497254,-0.029272618334339046,-0.03639346976749695,-0.00671866199523747,0.024697954047303194,0.014088991107989342,-0.025805562407571453,-0.027875196513999695,0.0001360139884118417,-0.019943360665691235,-0.018868536829788393,0.029644960160241287,-0.03179354379558073,0.013522689759350342,-0.00670055136959989,0.006167129818474568,-0.04989896400807309,0.042066573605295074,0.03697150194658861,0.0020156961277832896,0.04452616802141574,-0.023178296075673677,-0.017852120635938017,-0.010275204120607947,0.01913780687513258,0.0044661963376950555,0.0715285722680704,0.0089336353975188,0.015171651992005946,-0.0008929845834348342,0.05177627936514209,-0.005438217296429859
WA5_RS00085,0.005903136549529837,0.020796070796309483,-0.005296670072149852,-0.013810996535338653,-2.9829514038276058e-05,0.005710817556743444,-0.01847155117440751,-0.0133215878818634,0.0005164004342661042,-0.01189026709633518,-0.008910730491313459,-0.01004212619260336,-0.0008717886340077947,-0.004259184720788866,0.007059719372699507,-0.007940820474313402,0.007592724331098432,0.0011718114830862247,0.0006217719445121615,-0.004255352434437615,-0.006029587146628817,0.006462488165756939,0.0190193744051623,-0.0011329363318531656,0.008200272116569665,0.0013305062893279966,0.01685577416527898,0.0007790907706603978,-0.0008722693790751523,-0.0014071605981290898,0.003500314722090864,0.0056950791083676105,0.014939111646579399,-0.010075958645143445,-0.00404303058405632,0.0076777688964559145
WA5_RS00090,0.0029034174152293554,0.014586121821802443,0.0010855029084125738,-0.019037780671067844,0.0006172747826110401,0.006982119858886887,-0.01055676601160352,-0.011427586344141235,-0.013805423407347181,-0.01415814252804633,-0.012742379439376991,-0.008743889097619967,-0.010179949980860298,0.004358911899231683,-0.01746694881352987,0.00821666925373995,-0.007731491931534793,-0.0019985088621782563,0.004105027643259958,-0.003331368200859884,-0.0005285190546216795,-0.011544974263081478,0.03250567930216261,-0.0013566142126502313,0.013958852733984421,-0.0030563994866977524,0.034612579291954076,0.011561943864057424,-0.0020720584181507904,-0.006374167640897572,-0.0063247371271441715,0.004747136177479689,0.01729366967699268,-0.007541346763897867,0.003447439657387761,-0.0021573542417544192
WA5_RS00095,0.006248886416776895,0.018036875116727087,-0.0026656284691560267,0.017286967314771858,-0.01098578176302561,0.009955228354612235,-0.0029928334321020445,-0.015336025552791264,0.0025033021620849793,-0.0026404422797754357,-0.001388585985719425,0.0039041604190887653,0.006294910099233343,-0.005081466995486689,-0.0064130372509874365,0.01036537160574108,-0.01382239308756469,-0.0035936604131959933,0.0014249827603994795,-0.004994058645769732,-0.013919045346270283,0.006009362145565447,0.011074805563689555,0.006555378171169874,0.03984399944365359,-0.006723589357648754,0.014567843538506159,-0.0057861493841535995,0.0003329092111963239,-0.016676551099612368,0.0056993546908687045,-0.008246852300964974,-0.01672128009990704,-0.008067478920408542,0.008708358770899684,-0.007304974706567811
WA5_RS00100,0.0054866127256316104,0.001965159997313979,-0.008709344526172266,0.005730956057618101,-0.0014822329307033312,0.012225515147764163,-0.00882636532736409,0.0018213107572570097,0.00571843629125788,-0.0021740733842666973,0.015445862150228537,0.011091237525298675,0.01733714344079949,-0.00410546708764292,0.006174080805246199,0.01990776074928315,-0.014024823710567371,-0.007219993699470035,0.0005890312848795584,-0.0003659237552889884,-0.010790716435032778,-0.004121911025770025,0.017367549478715896,-0.0033766062170957453,0.05387389846164106,2.289232430951441e-05,0.006016718471778967,-0.0028581911918650546,-0.004804138808409616,-0.02255863429654828,0.023838732748643614,-0.005166858549060926,-0.005050928937792306,-0.013870843120462838,0.012680985546614357,-0.003840284904767943
WA5_RS00105,0.020956786785418253,-0.0023642896584263077,0.004628792310341877,0.0034303874724240613,0.005459172624437665,-0.015253031732179914,-0.0035243118934637136,-0.022804224004996668,0.004787441243494013,-0.003611069999049592,-0.015128294802572391,0.0033300460132127336,0.005835349552567343,0.010300083329896445,-0.003011547603327707,-0.0028134995948188696,-0.011432422905909054,-0.006617630378956973,-0.004362316934876672,0.00017250673340073723,0.018187028503708645,-0.000588733788061887,-0.017699597288568493,-0.006589580815850251,0.06120311255355673,0.0025273862906001086,0.011112345920423579,-0.006520165822892922,-0.006826214367447825,-0.027040317999592868,0.01708652192672199,-0.008599212750662163,0.009833570314241126,-0.003018472861139738,0.0038430961888760175,-0.006133452303359849
WA5_RS00110,0.024490276800973744,-0.0033837639292162497,0.01634500959549206,0.016306328573822814,-0.0010054223684920125,-0.017848999660827477,-0.015463756534303118,-0.0018168848516168796,0.009430115137853487,0.0014882345617193747,-0.011952939255860455,0.0023159509946210797,0.0027174681841425365,0.0007504347790349618,0.005350544548343749,0.03217227075412582,-0.011247812148137793,-0.0037810559541797484,-0.001360959545758906,-0.0065422163920486375,-0.00012063211554020886,0.003331604137276231,-0.01092271373019962,-0.009696932325690215,0.05051418871164861,-0.003465991823797564,0.0015559262640034764,-0.0114931142819518,-0.00631797039911498,-0.01664717569883734,0.015339713966205357,0.002092242058306105,0.001204983311491859,0.0044515119301176695,0.017455798252664204,-0.002749728344589958
